

study_hours,attendance,previous_marks,result


2,60,35,0
5,75,55,1
1,50,30,0
6,,65,1
3,65,40,0
7,85,70,1
4,70,,1
8,90,78,1
2,,33,0
8,85,65,1
8,88,,1
9,90,70,1
9,92,,1
10,95,75,1
1,40,20,0
2,48,28,0
3,,35,0
4,60,42,0
5,65,48,0
6,70,55,1
7,75,,1
8,80,65,1
9,85,70,1
10,90,78,1
2,,32,0
3,58,38,0
4,62,44,0
5,,49,0
6,72,54,1
7,77,59,1
8,82,64,1
9,87,69,1
10,93,80,1
3,50,30,0
4,55,35,0
5,60,45,0
6,65,50,1
7,70,55,1
8,75,60,1
9,80,65,1
10,85,70,1
2,42,22,0
3,48,28,0
4,52,33,0
5,55,,0
6,58,42,0
7,60,45,0
8,65,50,1
9,68,55,1
10,70,58,1
3,45,25,0
4,50,30,0
5,,40,0
6,62,48,0
7,66,52,1
8,,56,1
9,74,60,1
10,78,65,1
6,80,68,1
7,85,,1
8,90,75,1
